image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,2000-06-01,Stephan Mensah,German association football player,association football player,,,,2020-06-01
,2000-06-01,Grace Egan,Australian rules footballer,Australian rules football player,,Australia,Grace,2020-06-01
,1999-06-01,Dmitri Aliev,Russian figure skater,figure skater,,Russia,Dmitri,2020-06-01
,1999-06-01,Kristian Vesalainen,Finnish ice hockey player,ice hockey player,,Finland,Kristian,2020-06-01
,1999-06-01,Emil Bemström,Swedish ice hockey player (1999-),ice hockey player,,Sweden,Emil,2020-06-01
,1999-06-01,Sofia Hublitz,American actress,actor,,United States of America,Sofia,2020-06-01
,1999-06-01,So Nakagawa,Japanese association football player,association football player,,Japan,,2020-06-01
,1999-06-01,Strahinja Jovanović,association football player,association football player,,,,2020-06-01
,1999-06-01,Mohammad Sozib,cricketer,cricketer,,Bangladesh,,2020-06-01
,1999-06-01,Benis Belesi,association football player,association football player,,Belgium,,2020-06-01
,1999-06-01,Luis Fernando Sandoval,association football player,association football player,,Colombia,Luis,2020-06-01
,1999-06-01,Sondre Guttormsen,Norwegian athletics competitor,athletics competitor,,Norway,Sondre,2020-06-01
,1999-06-01,Imogen Clark,British swimmer,swimmer,,United Kingdom,Imogen,2020-06-01
,1999-06-01,Bruno Michel,association football player (*1999) ♂,association football player,,,,2020-06-01
,1999-06-01,Lawrence Neil-Smith,Australian cricketer,cricketer,,,Lawrence,2020-06-01
,1999-06-01,Sun Jiaxu,Chinese snowboarder,freestyle skier,,,,2020-06-01
,1999-06-01,Angelo Davids,South African rugby player,rugby union player rugby sevens player,,,Angelo,2020-06-01
,1999-06-01,Valentine Ozornwafor,Nigeria football player,association football player,,Nigeria,,2020-06-01
,1999-06-01,Mauri Vansevenant,Belgian cyclist,sport cyclist,,Belgium,,2020-06-01
,1999-06-01,Yaw Ackah,Ghanian footballer,association football player,,Ghana,Yaw,2020-06-01
,1962 1999-06-01,Ernesto Betancourt,Cuba person (*1999) ♂,,,Cuba,Ernesto,2020-06-01
,1999-06-01,Alexis Renard,French sport cyclist,sport cyclist,,France,Alexis,2020-06-01
,1998-06-01,Alexandra Soldatova,Russian rhythmic gymnast,rhythmic gymnast,,Russia,Aleksandra,2020-06-01
,1998-06-01,Wang Xuehan,Chinese pair skater,figure skater,,People's Republic of China,,2020-06-01
,1998-06-01,Branimir Kalaica,Croatian association football player,association football player,,Croatia,,2020-06-01
,1998-06-01,Cameron McAuslan,cricketer,cricketer,,People's Republic of China,Cameron,2020-06-01
,1998-06-01,Andreas Kron,Danish bicycle racer,sport cyclist,,Denmark,Andreas,2020-06-01
,1998-06-01,Maddison Rocci,Australian basketball player (1998-),basketball player,,Australia,,2020-06-01
,1998-06-01,Thierno Thioub,association football player,association football player,,Senegal,,2020-06-01
,1998-06-01,Ashley Hall,American Samoan association football player,association football player,,American Samoa,Ashley,2020-06-01
,1998-06-01,Paek Ok-sim,Person (*1998) ♀,,,,,2020-06-01
,1998-06-01,Abdul Rauf,Pakistani,cricketer,,,,2020-06-01
,1998-06-01,Ma Zhen,Chinese association football player,association football player,,,,2020-06-01
,1998-06-01,Alberto González,Spanish athlete specialising in the hammer throw,athletics competitor,,Spain,Alberto,2020-06-01
,1998-06-01,Luteru Tolai,Rugby union player (*1998) ♂,rugby union player,,,,2020-06-01
,1998-06-01,Michael Ohanu,Nigerian footballer,association football player,,,,2020-06-01
,1997-06-01,Natalie Westling,American model,model,,United States of America,Natalie,2020-06-01
,1997-06-01,Miklós Kitl,Hungarian association football player,association football player,,Hungary,Miklós,2020-06-01
,1997-06-01,Anton Orlov,Russian association football player,association football player,,Russia,Anton,2020-06-01
,1997-06-01,Nicolás De La Cruz,Uruguayan association football player,association football player,,Uruguay,Nicolás,2020-06-01
,1997-06-01,Tahlia Tupaea,Australian basketball player (1997-),basketball player,,Australia,Tahlia,2020-06-01
,1997-01-01 1997-06-01,Abdullah Akbar Mohammed,Saudi male sprinter,sprinter,,Saudi Arabia,Abdullah,2020-06-01
,1997-06-01,Giannis Vidalis,association football player,association football player,,Greece,,2020-06-01
,1997-06-01,Youssef En-Nesyri,Moroccan association football player,association football player,,Morocco,,2020-06-01
,1997-06-01,Marc Nordqvist,Finnish association football player,association football player,,Finland,Marc,2020-06-01
,1997-06-01,Dan Agyei,association football player,association football player,,England,,2020-06-01
,1997-06-01,Aleksandr Vasiukhno,Russian cyclist,sport cyclist,,Russia,,2020-06-01
,1997-06-01,Lasse Sigurdsen,association football player,association football player,,,,2020-06-01
,1997-06-01,Rasmus Thykjær Andersson,Danish ice hockey player (1997-),ice hockey player,,Denmark,Rasmus,2020-06-01
,1997-06-01,Volodymyr Shepelyev,Ukrainian association football player,association football player,,Ukraine,Vladimir,2020-06-01
,1997-06-01,Amimu Nahimana,association football player,association football player,,,,2020-06-01
,1997-06-01,Alexandr Vasyukhno,Sport cyclist (*1997) ♂,sport cyclist,,,,2020-06-01
,1997-06-01,Tomas Tsvyatkov,association football player,association football player,,,Tomas,2020-06-01
,1997-06-01,Geoffroy Mathieu,French swimmer,swimmer,,France,Geoffroy,2020-06-01
,1997-06-01,Anthony Barylla,German footballer,association football player,,Germany,Anthony,2020-06-01
,1997-06-01,Alessio Murgia,association football player,association football player,,,,2020-06-01
,1997-06-01,Josh Philippe,cricketer,cricketer,,Australia,Josh,2020-06-01
,1997-06-01,Alexandra Hasler,Swiss snowboarder (*1997) ♀,snowboarder,,Switzerland,Alexandra,2020-06-01
,1997-06-01,Sandaruwan Rodrigo,cricketer,cricketer,,Sri Lanka,,2020-06-01
,1997-06-01,Enikő Kecskès,Hungarian model,model,,,,2020-06-01
,1997-04-01 1997-06-01,Islom Kobilov,association football player,association football player,,,,2020-06-01
,1997-06-01,Chen Yi,association football player (*1997) ♂,association football player,,,,2020-06-01
,1997-06-01,Ayantha de Silva,Sri Lankan cricketer,cricketer,,,,2020-06-01
,1997-06-01,Ryan Gardner,Australian footballer,Australian rules football player,,,Ryan,2020-06-01
,1997-06-01 1997-01-06,Arie Sandy,Indonesian association football player,association football player,,Indonesia,,2020-06-01
,1997-06-01,Tuaina Taii Tualima,Australian rugby union player,rugby union player,,,,2020-06-01
,1997-06-01,Zhao Zihao,Chinese table tennis player,table tennis player,,,,2020-06-01
,1996-06-01,Kameron Chatman,American basketball player,basketball player,,United States of America,,2020-06-01
,1996-06-01,Pongsatorn Sripinta,Thai actor,actor,,Thailand,,2020-06-01
,1996-06-01,Edvinas Gertmonas,Lithuanian association football player,association football player,,Lithuania,Edvinas,2020-06-01
,1996-06-01,Phan Văn Long,Vietnamese footballer,association football player,,Vietnam,,2020-06-01
,1996-06-01,Maksim Kuzmin,Russian association football player,association football player,,Russia,Maksim,2020-06-01
,1996-06-01,Tom Holland,English actor,voice actor stage actor film actor actor dancer,,England,Thomas Stanley,2020-06-01
,1996-06-01,Valérie Gauvin,French association football player,association football player,,France,Valérie,2020-06-01
,1996-06-01,Luca Kozák,Hungarian female hurdler,hurdler,,Hungary,Q66132642,2020-06-01
,1996-06-01,Molly Bartrip,association football player,association football player,,United Kingdom,,2020-06-01
,1996-06-01,Adam Mitchell,New Zealand footballer,association football player,,Croatia,Adam,2020-06-01
,1996-06-01,Lukáš Bláha,ice hockey player (1996-),ice hockey player,,,Lukáš,2020-06-01
,1996-06-01,Vinko Međimorec,association football player,association football player,,Croatia,,2020-06-01
,1996-06-01,Göktuğ Bakırbaş,Turkish association football player,association football player,,Turkey,,2020-06-01
,1996-06-01,Idris Mbombo,association football player,association football player,,Democratic Republic of the Congo,,2020-06-01
,1996-06-01,Tyrel Lomax,rugby union player (1996-),rugby union player,,,,2020-06-01
,1996-06-01,Ibrahim Meite,English association football player,association football player,,United Kingdom,Ibrahim,2020-06-01
,1996-06-01,Mohsin Ali,association football player,association football player,,,,2020-06-01
,1996-06-01,Ayana Gempei,Japanese freestyle wrestler,amateur wrestler,,Japan,,2020-06-01
,1996-06-01,Carlos Blanco Moreno,Spanish association football player,association football player,,Spain,Carlos,2020-06-01
,1996-06-01,Mohamed Mezouari,Kingdom of the Netherlands - morocco kickboxer (*1996) ♂,kickboxer,,Kingdom of the Netherlands Morocco,,2020-06-01
,1996-06-01,Aybol Abiken,association football player,association football player,,Kazakhstan,,2020-06-01
,1996-06-01,Anne-Marie Comeau,Canadian cross-country skier,cross-country skier,,Canada,Anne-Marie,2020-06-01
,1996-06-01,Christian Oliva,association football player,association football player,,Uruguay,Christian,2020-06-01
,1996-06-01,Drussyla Costa,Brazilian volleyball player,volleyball player,,Brazil,,2020-06-01
,1996-06-01,Iman Salimi,association football player,association football player,,Iran,,2020-06-01
,1996-06-01,Mutawakilu Fuseini,Ghanaian association football player,association football player,,,,2020-06-01
,1996-06-01,Alsény Camara,association football player (*1996) ♂,association football player,,,,2020-06-01
,1996-06-01,Cengiz Arslan,Turkish amateur wrestler,amateur wrestler,,Turkey,Cengiz,2020-06-01
,1996-06-01,Ndulo,Angolan footballer,association football player,,,,2020-06-01
,1996-06-01,Kingsley Yeboah,association football player (*1996) ♂,association football player,,,,2020-06-01
,1996-06-01,Blaž Kramer,Slovene association football player,association football player,,Slovenia,,2020-06-01
,1996-06-01,Willie Britto,association football player (*1996) ♂,association football player,,,,2020-06-01
,1996-06-01,Naomie Guerra,association football player (*1996) ♀,association football player,,,,2020-06-01
,1996-06-01,Peerapong Panyanumaporn,Thai footballer,association football player,,,,2020-06-01
,1995-06-01,Tsuyoshi Miyaichi,Japanese association football player,association football player,,Japan,Tsuyoshi,2020-06-01
,1995-06-01,Carl Starfelt,Footballer,association football player,,Sweden,Carl,2020-06-01
,1995-06-01,C. J. Greaves,American racing driver,racing driver,,,C.,2020-06-01
,1995-06-01,Thomas Pedrabissi,Italian footballer,association football player,,Italy,Thomas,2020-06-01
,1995-06-01,Erina Nakayama,Japanese actress,actor fashion model model,,Japan,Erina,2020-06-01
,1995-06-01,Mario Jurčevič,Slovenian footballer,association football player,,Slovenia,Mario,2020-06-01
,1995-06-01,Hanc Llagami,Albanian footballer,association football player,,Albania,,2020-06-01
,1995-06-01,Carlos Castro García,Spanish footballer,association football player,,Spain,Carlos,2020-06-01
,1995-06-01,Reece McFadden,British boxer,boxer,,,,2020-06-01
,1995-06-01 1995-05-05,Zodingliana Ralte,Indian Professional Football Player,association football player,,India,,2020-06-01
,1995-06-01,Sada Thioub,Senegalese footballer,association football player,,France,,2020-06-01
,1995-06-01,Hasan Raza,Pakistani cricketer (born 1995),cricketer,,Pakistan,Hasan,2020-06-01
,1995-06-01,Sarah Atcho,Swiss sprinter,athletics competitor,,Switzerland,Sarah,2020-06-01
,1995-06-01,Markus Blutsch,Austrian footballer,association football player,,Austria,Markus,2020-06-01
,1995-06-01,Jonathan Ruiz,Dutch association football player,association football player,,Kingdom of the Netherlands,Jonathan,2020-06-01
,1995-06-01,Federico Fuligni,Italian motorcycle racer,motorcycle racer,,Italy,Federico,2020-06-01
,1995-06-01,Peter John Stevens,Slovene swimmer,swimmer,,Slovenia,Peter,2020-06-01
,1995-06-01,Jordan Sheffield,American baseball player,baseball player,,United States of America,,2020-06-01
,1995-06-01,Janna Nick,Malaysian actress and singer,actor,,,,2020-06-01
,1995-06-01,Malcolm Karpany,Australian rules footballer,Australian rules football player,,,Malcolm,2020-06-01
,1995-06-01,Harrison Powell,cricketer,cricketer,,Wales,,2020-06-01
,1995-06-01,Arturs Bernotas,chess player,chess player,,Latvia,,2020-06-01
,1995-06-01,Susan Banda,association football player,association football player,,Zambia,Susan,2020-06-01
,1995-06-01,John Mark Makwatta,association football player,association football player,,,John,2020-06-01
,1995-06-01,Tim Hronek,Freestyle skier (*1995) ♂,freestyle skier,,,Tim,2020-06-01
,1995-06-01,Hayato Okamoto,Japanese cyclist,sport cyclist,,Japan,,2020-06-01
,1995-06-01,Abdulrahman Al-Aboud,association football player,association football player,,Saudi Arabia,,2020-06-01
,1995-06-01,Mahmoud Hamdy,Egyptian footballer,association football player,,Egypt,,2020-06-01
,1995-06-01,Polina Popova,Russian model,model,,Russia,Polina,2020-06-01
,1995-06-01,Tögöldur Galt,association football player,association football player,,Mongolia,,2020-06-01
,1995-08-01,Nick Olij,Dutch association football player,association football player,,Kingdom of the Netherlands,Nick,2020-06-01
,1995-06-01,Stewart McSweyn,Australian runner,long-distance runner,,Australia,Stewart,2020-06-01
,1995-06-01,Belinda Smith,Australian rules footballer,Australian rules football player,,,Belinda,2020-06-01
,1995-06-01,Kiran Arunasalam,field hockey player (1995-),field hockey player,,,,2020-06-01
,1995-06-01,Shuto Kitagawa,Japanese association football player,association football player,,Japan,,2020-06-01
,1995-06-01,Kim Dong-woo,South Korean alpine skier,alpine skier,,South Korea,,2020-06-01
,1995-06-01,Dylan Sikura,ice hockey centre,ice hockey player,,Canada,,2020-06-01
,1995-06-01,Smaali Bouaabid,Tunisian paralympic athlete,athletics competitor,,Tunisia,,2020-06-01
,1995-06-01,E. J. Speed,American football linebacker,American football player,,United States of America,,2020-06-01
,1995-06-01,Alicia Atout,"Canadian journalist, YouTube personality, and professional wrestling personality",journalist YouTuber music journalist,,,,2020-06-01
,1995-06-01,Tobi Bakre,actor (*1995) ♂,actor,,,,2020-06-01
,1995-06-01,Mark Wallace,Canadian mountain biker,,,Canada,,2020-06-01
,1995-06-01,Ghaith Sghaier,Tunisian association football player,association football player,,Tunisia,Ghaith,2020-06-01
,1995-06-01,Guo Tianqian,Chinese shot putter,shot putter,,People's Republic of China,,2020-06-01
,1995-06-01,Hanna Beattie,Ice hockey player (*1995) ♀,ice hockey player,,,,2020-06-01
,1994-06-01,Niklas Tikkinen,Finnish ice hockey player,ice hockey player,,Finland,Niklas,2020-06-01
,1994-06-01,Giorgian De Arrascaeta,Uruguayan footballer,association football player,,Uruguay Italy,,2020-06-01
,1994-06-01,Lim Dong-hyun,South Korean association football player,association football player,,South Korea,Dong-hyun,2020-06-01
,1994-06-01,Patrick Burgener,snowboarder,snowboarder,,Switzerland,Patrick,2020-06-01
,1994-06-01,Jung Hyun,South Korean baseball player,baseball player,,South Korea,,2020-06-01
,1994-06-01,Lui Man Tik,association football player,association football player,,,,2020-06-01
,1994-06-01,Harold Preciado,Colombian footballer,association football player,,Colombia,Harold,2020-06-01
,1994-06-01,Robert Páez,Venezuelan diver,competitive diver,,Venezuela,Robert,2020-06-01
,1994-06-01,Taishi Kagayaki,sumo wrestler,rikishi,,Japan,,2020-06-01
,1994-06-01,Varsha Varman,Indian sport shooter,sport shooter,,India,Varsha,2020-06-01
,1994-06-01,Lucas Colitto,Argentine footballer,association football player,,Argentina,Lucas,2020-06-01
,1994-06-01,Gianpiero Tozzi,Italian footballer,association football player,,Italy,Gianpiero,2020-06-01
,1994-06-01,Leonardo Santos Lisboa,Brazilian association football player,association football player,,Brazil,Leonardo,2020-06-01
,1994-06-01,José Luis Rodríguez,Chilean bicycle racer,sport cyclist,,Chile,José Luis,2020-06-01
,1994-06-01,Neil Herron,rugby union player (1994-),rugby union player,,,Neil,2020-06-01
,1994-06-01,Bradley Pinion,American American football player,American football player,,United States of America,Bradley,2020-06-01
,1994-06-01,Atsu Nyamadi,Ghanaian athletics competitor,athletics competitor,,Ghana,,2020-06-01
,1994-06-01,Laura Nurmsalu,Estonia archer (*1994) ♀,archer,,Estonia,Laura,2020-06-01
,1994-06-01,Isidora Steinmettz,volleyball player,volleyball player,,Chile,Isidora,2020-06-01
,1994-06-01,Alex Ciabattoni,Australian basketball player (1994-),basketball player,,Australia,Alex,2020-06-01
,1994-06-01,Ahmed Al-Asker,association football player,association football player,,Qatar,Ahmed,2020-06-01
,1994-06-01,Ross Greer,Scottish politician,politician,Member of the 5th Scottish Parliament,United Kingdom,Ross,2020-06-01
,1994-06-01,Mimmi Paulsson-Febo,association football player,association football player,,Sweden,Mimmi,2020-06-01
,1994-06-01,Yun Seung-hyun,South Korean athletics competitor,athletics competitor,,South Korea,,2020-06-01
,1994-06-01,Tan Kian Meng,badminton player,badminton player,,Malaysia,,2020-06-01
,1994-06-01,Kirk Shimmins,Irish field hockey player,field hockey player,,Ireland,,2020-06-01
,1994-06-01,Andrew Stevenson,American baseball player,baseball player,,,Andrew,2020-06-01
,1994-06-01,Codi Miller-McIntyre,American basketball player (1994-),basketball player,,United States of America,,2020-06-01
,1994-06-01,Lau Tak Yan,association football player,association football player,,,,2020-06-01
,1994-06-01 1994-06-12,Dan Renouf,ice hockey player (1994-),ice hockey player,,,,2020-06-01
,1994-06-01,Elijah McGuire,American-football player (1994-),American football player,,United States of America,Elijah,2020-06-01
,1994-06-01,Joris van Overeem,Dutch footballer,association football player,,Kingdom of the Netherlands,Joris,2020-06-01
,1994-06-01,Andrew Rarangia,association football player,association football player,,,Andrew,2020-06-01
,1994-06-01,Dawn,South Korean singer,singer actor,,South Korea,Q69508951,2020-06-01
,1994-06-01,Angharad James,Welsh footballer,association football player,,United Kingdom,Angharad,2020-06-01
,1994-06-01,Gelvis Solano,Dominican/American basketball player,basketball player,,United States of America Dominican Republic,,2020-06-01
,1994-06-01,Rute Costa,association football player,association football player,,Portugal,Rute,2020-06-01
,1994-06-01,Sabrina Schulz,Austrian figure skater,figure skater,,Austria,Sabrina,2020-06-01
,1994-06-01,Henrik Wolsing,record producer (*1994) ♂,record producer,,,Henrik,2020-06-01
,1994-06-01,Sean Conroy,Irish squash player,squash player,,Ireland,Sean,2020-06-01
,1994-06-01 2002-02-01,Marcelo Freitas,Brazilian association football player (1994-),association football player,,Brazil,Marcelo,2020-06-01
,1994-06-01,Sarita Gayakwad,Indian sprinter,athletics competitor,,India,,2020-06-01
,1994-06-01,Chad Beebe,American-football player,American football player,,,,2020-06-01
,1994-06-01,Brunallergene Etou,association football player,association football player,,,,2020-06-01
,1994-06-01,Grandayy,Maltese YouTuber and musician,YouTuber musician,,Malta,,2020-06-01
,1994-06-01,Jamie Webb,British middle-distance runner,athletics competitor,,United Kingdom,Jamie,2020-06-01
,1994-06-01,Dua Malik,Pakistani singer and television host,singer composer television presenter,,Pakistan,,2020-06-01
,1994-06-01,Darri Freyr Atlason,Icelandic basketball coach,,,,,2020-06-01
,1994-06-01,Tatiana Markushevskaya,Belarusian association football player,association football player,,Belarus,,2020-06-01
,1994-06-01,Szederke Sirián,Hungarian handball player,handball player,,Hungary,,2020-06-01
,1994-06-01,Isaura Menin,Brazilian handball player,handball player,,Brazil,Isaura Fernanda,2020-06-01
,1994-06-01,Sevinj Jafarzade,association football player (*1994) ♀,association football player,,,,2020-06-01
,1993-06-01,Miguel Suárez,Bolivian footballer,association football player,,Bolivia,Miguel,2020-06-01
,1993-06-01,Alexey Shebanov,Russian footballer,association football player,,Russia,Alexey,2020-06-01
,1993-06-01,Canberk Dilaver,Turkish footballer,association football player,,Turkey,Canberk,2020-06-01
,1993-06-01,Allison Beveridge,Canadian cyclist,sport cyclist,,Canada,Allison,2020-06-01
,1993-06-01,Sam Anas,American ice hockey player,ice hockey player,,United States of America,Sam,2020-06-01
,1993-06-01 1993-01-06,Andi Renja,Greek footballer,association football player,,Greece,Andi,2020-06-01
,1993-06-01,P. J. Williams,American football player,American football player,,United States of America,P.,2020-06-01
,1993-06-01,Danny Walters,British actor,actor television actor,,United Kingdom,Danny,2020-06-01
,1993-06-01,Johnny O'Bryant III,American basketball player,basketball player,,United States of America,Johnny,2020-06-01
,1993-06-01,Kelvin Mateus de Oliveira,Brazilian footballer,association football player,,Brazil,Kelvin,2020-06-01
,1993-06-01,Sarjubala Devi,Indian boxer,boxer,,India,,2020-06-01
,1993-06-01,Alistair Quinn,Australian soccer player,association football player,,Australia,Alistair,2020-06-01
,1993-06-01,Satoru Kashiwase,Japanese association football player,association football player,,Japan,Satoru,2020-06-01
,1993-06-01,Reshanda Gray,American basketball player (1993-),basketball player,,United States of America,,2020-06-01
,1993-06-01,Kasun Rajitha,Sri Lankan cricketer,cricketer,,Sri Lanka,,2020-06-01
,1993-06-01,Damien Borel,American-football player (1993-),American football player,,,Damien,2020-06-01
,1993-06-01,Rajat Patidar,Indian cricketer,cricketer,,India,,2020-06-01
,1993-06-01,Nguyễn Nam Anh,association football player,association football player,,Vietnam,,2020-06-01
,1993-06-01,Wendy Chen,badminton player,badminton player,,Australia,Wendy,2020-06-01
,1993-06-01,Amjad Walid,association football player,association football player,,Iraq,,2020-06-01
,1993-06-01,J. T. Poston,American golfer,golfer,,United States of America,,2020-06-01
,1993-06-01,Eric Semborski,Ice hockey player (*1993) ♂,ice hockey player,,,Eric,2020-06-01
,1993-06-01,Yohei Nishimura,Japanese association football player,association football player,,Japan,,2020-06-01
,1993-06-01,Ahmed El Sheikh (Goalkeeper),Egyptian footballer,association football player,,Egypt,,2020-06-01
,1993-06-01,Rodrigo Thompson,association football player,association football player,,Brazil,Rodrigo,2020-06-01
,1993-06-01,Paulo Sérgio Oliveira,Brazilian athletics competitor,athletics competitor,,Brazil,Paulo,2020-06-01
,1993-06-01,Mavroudis Bougaidis,Greek footballer,association football player,,Greece,,2020-06-01
,1993-06-01,Noémie Happart,"Belgian model, Miss Belgium 2013",model beauty pageant contestant,,Belgium,Noémie,2020-06-01
,1993-06-01,Jenny Langlo,Norwegian musician,musician,,Norway,Jenny,2020-06-01
,1993-06-01,Miguel Medina,Paraguayan footballer,association football player association football manager,,Paraguay,Miguel,2020-06-01
,1993-06-01,Mohamed Rizk,association football player,association football player,,Egypt,,2020-06-01
,1993-07-24 1993-06-01,Selim Abdel-Khalik,association football player,association football player,,Egypt,,2020-06-01
,1993-06-01,Dylan Wynn,Canadian football player (*1993) ♂,Canadian football player,,,,2020-06-01
,1993-06-01,Chen Fang,Chinese rower,rower,,People's Republic of China,Fang,2020-06-01
,1993-06-01,Andrew Salter,Welsh cricketer,cricketer,,Wales,Andrew,2020-06-01
,1993-06-01,Henry Hodges,Broadway actor,singer actor,,United States of America,Henry,2020-06-01
,1993-06-01,Fahd El Khoumisti,French footballer,association football player,,,,2020-06-01
,1993-06-01,George Saville,Northern Irish association football player,association football player,,United Kingdom,George,2020-06-01
,1993-06-01,Kim Jeong-hyun,South Korean association football player,association football player,,South Korea,Jung-hyun,2020-06-01
,1993-06-01,Mariam Batsashvili,Georgian pianist,pianist,,,,2020-06-01
,1993-06-01,Hung Tzu-kuei,association football player (*1993) ♂,association football player,,,,2020-06-01
,1993-06-01,Ryuji Sugimoto,Japanese association football player,association football player,,Japan,Ryūji,2020-06-01
,1993-06-01,Aboubacar Camara,Guinean footballer (1993–),association football player,,Guinea,Aboubacar,2020-06-01
,1992-06-01,Kira Plastinina,Russian fashion designer,fashion designer artist designer,,Russia,Kira,2020-06-01
,1992-06-01,Yuya Taniguchi,baseball player,baseball player,,Japan,Yūya,2020-06-01
,1992-06-01,Rezgar Amani,Finnish footballer,association football player,,Finland,,2020-06-01
,1992-06-01,Raul Santos,Austrian handball player,handball player,,Austria,Raul,2020-06-01
,1992-06-01,Alaba Jonathan,Nigerian footballer,association football player,,Nigeria,Alaba,2020-06-01
,1992-06-01,Iskandar Dzhalilov,Tajikistani football player,association football player association football manager,,,,2020-06-01
,1992-06-01,Elaine Gomes,Brazilian handball player,handball player,,Brazil,Elaine,2020-06-01
,1992-06-01,Ahmed Awad,Swedish association football player,association football player,,Sweden,Ahmed,2020-06-01
,1989-09-10 1992-06-01,Mabululu,Angolan footballer,association football player,,Angola,,2020-06-01
,1992-06-01,Rubén Sobrino,Spanish footballer,association football player,,Spain,Rubén,2020-06-01
,1992-06-01,Luca Badr,Belgian-Egyptian Footballer,association football player,,Belgium,Luca,2020-06-01
,1992-06-01,Tony Washington,American football player,American football player,,United States of America,Tony,2020-06-01
,1992-06-01,Adrien Sathler,Brazilian association football player,association football player,,Brazil,Adrien,2020-06-01
,1992-06-01,Jenna McDougall,Australian singer-songwriter,singer,,Australia,Jenna,2020-06-01
,1992-06-01,Lateef Elford-Alliyu,English professional footballer,association football player,,United Kingdom,,2020-06-01
,1992-06-01,Ayumi Hagiwara,Japanese long-distance runner,athletics competitor,,Japan,,2020-06-01
,1992-06-01,Mohammad Rizwan,cricketer,cricketer,,Pakistan,Mohammad,2020-06-01
,1992-06-01,Karol Mackiewicz,Polish footballer,association football player,,Poland,Karol,2020-06-01
,1992-06-01,Clayton Geathers,American football player,American football player,,United States of America,Clayton,2020-06-01
,1992-06-01,Victor N'Diaye,association football player,association football player,,Canada,Victor,2020-06-01
,1992-06-01,Kombi Mandjang,Cameroonian footballer,association football player,,Cameroon,,2020-06-01
,1992-06-01,Gianmarco Tamberi,Italian high jumper,high jumper,,Italy,Gianmarco,2020-06-01
,1992-06-01 1992-01-06,Fawaz Al-Khaibari,association football player,association football player,,Saudi Arabia,,2020-06-01
,1992-06-01,Arli Chontey,Kazakhstan weightlifter (*1992) ♂,weightlifter,,Kazakhstan,,2020-06-01
,1992-06-01,Xavier Munford,American basketball player,basketball player,,United States of America,Xavier,2020-06-01
,1992-06-01,Agustin Jara,Argentine association football player,association football player,,Argentina,Agustin,2020-06-01
,1992-06-01,Myrthe Schoenaker,Dutch handball player,handball player,,Kingdom of the Netherlands,Myrthe,2020-06-01
,1992-06-01,José Francisco Agulló Sevilla,Spanish association football player,association football player,,Spain,José,2020-06-01
,1992-06-01,Luka Kovačević,Croatian handball player,handball player,,Croatia,,2020-06-01
,1992-06-01,Luis Arcon,Venezuelan boxer,boxer,,Venezuela,Luis,2020-06-01
