image,Born,Person,description,occupation,position held,country of citizenship,given name
,1999-05-07,Kim Min-gyu,South Korean baseball player,baseball player,,South Korea,Min-kyu
,1999-05-07,Arthur Mourgue,French rugby league footballer,rugby league player,,France,Arthur
,1999-05-07,James Sookias,cricketer,cricketer,,United Kingdom,James
,1999-05-07,Amir Seydali,association football player (*1999) ♂,association football player,,,
,1999-05-07,Nimasara Atharagalla,Sri Lankan cricketer,cricketer,,,
,1999-05-07,Tommy Fury,"Participant on Season 5 of Love Island .Pro boxer , Brother of Tyson Fury",boxer,,,
,1999-05-07,Masaki Sato,Japanese singer and idol,singer actor,,Japan,Masaki
,1999-05-07,Nanako Fujii,Athletics competitor (*1999) ♀,athletics competitor,,,
,1999-05-07,Zorhan Bassong,Canadian football player,association football player,,Canada,
,1999-05-07,Bill,Person (*1999) ♂,,,,
,1999-05-07,Blaine Ridge-Davis,Sport cyclist and track cyclist (*1999) ♀,sport cyclist track cyclist,,,
,1998-05-07,Illya Solomin,Swedish figure skater,figure skater,,Sweden,
,1998-05-07,Kim Un-sol,North Korean gymnast,acrobatic gymnast,,North Korea,
,1998-05-07,Jesse Puljujärvi,Finnish ice hockey player,ice hockey player,,Finland,Jesse
,1998-05-07,Dani Olmo,Spanish association football player,association football player,,Spain,Dani
,1998-05-07,Mihaela Marinova,Bulgarian singer and songwriter,singer actor,,Bulgaria,Mihaela
,1998-05-07,Conor Fitzsimmons,athlete (*1998) ♂,athlete,,,
,1998-05-07,Nolan Jones,baseball player (1998-),baseball player,,,
,1998-05-07,Santeri Pakkanen,Finnish footballer,association football player,,Finland,Santeri
,1998-05-07,Daryl Ferrario,cricketer,cricketer,,India,
,1998-05-07,Damian Willemse,South African rugby union footballer (b. 1998),rugby union player,,South Africa,Damian
,1998-05-07,Cristian Nahuel Barrios,Argentinian association football player,association football player,,Argentina,Cristian
,1998-05-07,Deanna Berry,Australian rules footballer,Australian rules football player,,,Deanna
,1998-05-07,Aleksandr Solodkov,association football player,association football player,,,
,1998-05-07,Orestis Kiomourtzoglou,German-Greek footballer,association football player,,Germany,
,1998-05-07 1999-05-18,Diallang Jaiyesimi,association football player,association football player,,United Kingdom,
,1998-05-07,Ismaila Soro,association football player,association football player,,,
,1998-05-07,Dávid Sinkovits,association football player,association football player,,,Dávid
,1998-05-07,Nikolas Mattheou,association football player,association football player,,,
,1998-05-07,Thalisson Kelven,Brazilian footballer,association football player,,Brazil,
,1998-05-07,Jean Pyerre,association football player,association football player,,Brazil,Jean
,1998-05-07,Utkarsh Singh,cricketer,cricketer,,India,
,1998-05-07,Josephine Nordstrøm Olsen,Danish handball player,handball player,,Denmark,Josephine
,1998-05-07,Esteban Obiang,association football player,association football player,,Spain,Esteban
,1998-05-07,Jess Watkin,New Zealand cricketer,cricketer,,New Zealand,
,1998-05-07,Alessandro Fratangelo,association football player (*1998) ♂,association football player,,,Alessandro
,1998-05-07 1996-05-07,Johannes Handl,Austrian football player,association football player,,Austria,Johannes
,1998-05-07,Alessio Proietti Colonna,Italian swimmer,swimmer,,Italy,Alessio
,1998-05-07,Andrés Llamas,association football player,association football player,,,Andrés
,1998-05-07,MrBeast,American YouTuber,YouTuber,,United States of America,
,1998-05-07,"Mohamed Mahmoud (footballer, born 1998)",Egyptian association football player (1998-),association football player,,Egypt,Mohammed
,1998-05-07,Giorgi Chochishvili,association football player,association football player,,,
,1998-05-07,Kamil Adamczyk,Polish handball player,handball player,,,
,1998-05-07,Phongsapak Kerdlaphee,Tennis player (*1998) ♂,tennis player,,,
,1997-05-07,Youri Tielemans,Belgian association football player,association football player,,Belgium,Youri
,1997-05-07,Daria Kasatkina,Russian tennis player,tennis player,,Russia,Darya
,1997-05-07,Kamila Bobr,Belarus athlete (*1997) ♀,athlete,,Belarus,Kamila
,1997-05-07,Mohammad Hossein Babagoli,Iranian association football player,association football player,,Iran,Mohammad
,1997-05-07,Johan Salomon,Norwegian chess player,chess player,,Norway,Johan
,1997-05-07,Darnell McIntosh,English rugby league footballer,rugby league player,,,
,1997-05-07,Harry Dearden,cricketer,cricketer,,United Kingdom,Harry
,1997-05-07,Rika Rositawati,badminton player,badminton player,,Indonesia,
,1997-05-07,Oleksandr Pikhalyonok,association football player,association football player,,Ukraine,
,1997-05-07,Adam Bergmark Wiberg,association football player,association football player,,,Adam
,1997-05-07,Magdalena Klatka,Polish pair skater,figure skater,,,Magdalena
,1997-05-07,Vincent Regeling,association football player,association football player,,Kingdom of the Netherlands,Vincent
,1997-05-07,Aleix Gómez,Spanish handball player,handball player,,Spain,Aleix
,1997-05-07,Darcy Swain,Australian rugby union player (1997-),rugby union player,,Australia,
,1997-05-07,David Čapek,association football player,association football player,,,David
,1997-05-07,Settawut Wongsai,association football player,association football player,,Thailand,
,1997-05-07,Carlü Sadie,South African rugby union footballer (1997-),rugby union player,,,
,1997-05-07,Jhon Montaño,association football player,association football player,,Colombia,
,1997-05-07,Harrison Allan,New Zealand rugby union player (1997-),rugby union player,,New Zealand,
,1997-05-07,Sean Hjelle,baseball player (1997-),baseball player,,,Sean
,1997-05-07,Rico Nasty,American rapper,singer,,,
,1997-05-07,Jamuna Boro,boxer,boxer,,India,
,1997-05-07,Steve Kroll,German association football player (1997-),association football player,,Germany,Steve
,1997-05-07,Andrew Kuhn,South African rugby union footballer (1997-),rugby union player,,,Andrew
,1997-05-07,Ilunga Mukendi,South African rugby union footballer (1997-),rugby union player,,,
,1997 1997-05-07,Nicolás Eduardo Baeza Martínez,Chilean association football player,association football player,,Chile,
,1997-05-07,Nimesh Vimukthi,Sri Lankan cricketer,cricketer,,,
,1997-05-07,Cole Keith,Rugby union player (*1997) ♂,rugby union player,,,
,1997-05-07,Kavindu Bandara,Cricketer (*1997) ♂,cricketer,,,
,1997-05-07,Aisam Ibrahim,association football player (*1997) ♂,association football player,,,
,1997-05-07,Muhammad Faizan,Pakistani cricketer,cricketer,,,
,1996-05-07,Faker,South Korean professional League of Legends player,pro gamer,,South Korea,
,1996-05-07,Alexandru Bejan,Moldovan footballer,association football player,,Moldova,Alexandru
,1996-05-07,Nikita Chaly,Russian association football player,association football player,,Russia,Nikita
,1996-05-07,Robin Fluß,German association football player,association football player,,Germany,Robin
,1996-05-07,Nico Zaldana,US association football player,association football player,,United States of America,Nico
,1996-05-07,Zakaria El Azzouzi,Dutch association football player,association football player,,Kingdom of the Netherlands,Zakaria
,1996-05-07,Ingrid Oliveira,Brazilian competitive diver (*1996) ♀,competitive diver,,Brazil,Ingrid
,1996-05-07,Manuel Haas,Austrian footballer,association football player,,Austria,Manuel
,1996-05-07,Mario Mosböck,Austrian footballer and poker player,association football player poker player,,Austria,Mario
,1996-05-07,Dmitri Khristis,Russian association football player,association football player,,Russia,Dmitri
,1996-05-07,Ethan Happ,basketball player (1996-),basketball player,,United States of America,Ethan
,1996-05-07,Tom Phillips,Australian rules footballer,Australian rules football player,,,Tom
,1996-05-07,Tobias Andersson,Swedish politician,politician,member of the Swedish Riksdag,Sweden,Tobias
,1996-05-07,Sara Poidevin,Canadian cyclist,sport cyclist,,Canada,Sara
,1996-05-07 1997,Federico Varela,Argentinian association football player,association football player,,Argentina,Federico
,1996-05-07,Mavis Tchibota,association football player,association football player,,Republic of the Congo,
,1996-05-07,Lee Sang-ki,South Korean association football player,association football player,,,Sang-ki
,1996-05-07,Nicola Kuleski,association football player,association football player,,Australia,Nicola
,1996-05-07,Joseph Stallcop,American politician,politician,,United States of America,Joseph
,1996-05-07,Jordan Cunico,Australian rules footballer,Australian rules football player,,Australia,Jordan
,1996-05-07,Tanner Thorson,American racing driver,racing driver,,,
,1996-05-07,Diletta Carli,Italian swimmer,swimmer,,Italy,Diletta
,1996-05-07,Aalisha Panwar,Indian actress,actor television actor,,India,
,1996-05-07,João Teixeira Almeida,"Portuguese footballer, born 1996",association football player,,Portugal,
,1996-05-07,Khari Willis,American football safety,American football player,,United States of America,
,1996-05-07,Melanie Díaz,Puerto Rican table tennis player,table tennis player,,,Melanie
,1996-05-07,Conrad-Robin Scheibner,German canoeist,canoeist,,Germany,Conrad
,1996-05-07,Jonah Ebanks,association football player (*1996) ♂,association football player,,,
,1995-05-07,Steven Petkov,Bulgarian footballer,association football player,,Bulgaria,Steven
,1995-05-07,Hicham Khaloua,Moroccan footballer,association football player,,Morocco Spain,Hicham
,1995-05-07,Yuri Mamute,Brazilian footballer,association football player,,Brazil,Yuri
,1995-05-07,Charlotte McKane,American community service volunteer,volunteer,,United States of America,Charlotte
,1995-05-07,Yuki Uchiyama,Japanese association football player,association football player,,Japan,
,1995-05-07,Keisuke Oyama,Japanese association football player,association football player,,Japan,Keisuke
,1995-05-07,Alex Washington,association football player,association football player,,,Alex
,1995-05-07,Sam Walker,English table tennis player,table tennis player,,United Kingdom,Sam
,1995-05-07,Seko Fofana,French footballer,association football player,,France,
,1995-05-07,Peter James Hallam,figure skater,figure skater,,,Peter James
,1995-05-07,Tomáš Dvořák,Czech ice hockey player,ice hockey player,,Czech Republic,Tomáš
,1995-05-07,Carlos Giménez,cyclist,sport cyclist,,Venezuela,Carlos
,1995-05-07,Jack Hendry,"Scottish association football player, born 1995",association football player,,United Kingdom,Jack
,1995-05-07,Juander Santos,Dominican athletics competitor,athletics competitor,,Dominica,
,1995-05-07,Fabian Allen,West Indian cricketer,cricketer,,Jamaica,Fabian
,1995-05-07,Anders Skaarseth,Norwegian road cyclist,sport cyclist,,Norway,Anders
,1995-05-07,Himasha Eashan,Sri Lankan athletics competitor,athletics competitor,,Sri Lanka,
,1995-05-07,Nicolás Guirin,Uruguayan association football player,association football player,,Uruguay,Nicolás
,1995-05-07,Zane Gonzalez,American football placekicker,American football player,,United States of America,
,1995-05-07,Fred Kerley,American sprinter,athlete,,United States of America,Fred
,1995-05-07,Llywelyn Cremona,association football player,association football player,,,
,1995-05-07,Kevin O'Connor,association football player,association football player,,,Kevin
,1995-05-07,Keisuke Saka,Japanese association football player,association football player,,Japan,
,1995-05-07,Oskars Batņa,ice hockey player,ice hockey player,,Latvia,
,1995-05-07,Lauren Down,New Zealand cricketer,cricketer,,New Zealand,Lauren
,1995-05-07 1995-07-05,Johan Andersson,Swedish association football player,association football player,,Sweden,Johan
,1995-05-07,Fernando Vega,Argentine professional footballer born 1995,association football player,,Argentina,Fernando
,1995-05-07,Eugenio D'Ursi,football player,association football player,,,
,1995-05-07,Thaddeus Atalig,Guam footballer,association football player,,Guam,Thaddeus
,1995-05-07,Veronika Vernadskaya,actress,actor film actor,,Russia,Veronika
,1994-05-07,Ivar Furu,Norwegian association football player,association football player,,Norway,Ivar
,1994-05-07,Taylor Wilson,"American student, scientist",engineer nuclear physicist,,United States of America,Taylor
,1994-05-07,Stefan Čupić,Serbian footballer,association football player,,Serbia,Stefan
,1994-05-07,Dino Mikanović,Footballer,association football player,,Croatia,Dino
,1994-05-07,Maja Stipančević,Croatian association football player,association football player,,Croatia,Maja
,1994-05-07,Tom Helm,English cricketer,cricketer,,United Kingdom,Tom
,1994-05-07,Zoë Wenham,British racing driver,athlete,,United Kingdom,Zoë
,1994-05-07 1994-05-17,Felix Luk,association football player,association football player,,,Felix
,1994-05-07,Jean-Luc du Plessis,South African rugby union footballer,rugby union player,,South Africa,Jean-Luc
,1994-05-07,Juuso Rämö,Finnish ice hockey player,ice hockey player,,Finland,Juuso
,1994-05-07,Pierre Schoeman,South African rugby union footballer,rugby union player,,South Africa,Pierre
,1994-05-07,Dylan Gelula,American actress,actor television actor film actor stage actor,,United States of America,Dylan
,1994-05-07,Lanry Kahinda,Nigerian association football player,association football player,,Nigeria,
,1994-05-07,Merijn Korevaar,Dutch cyclist,sport cyclist,,Kingdom of the Netherlands,
,1994-05-07,Josh Anderson,Canadian ice hockey player,ice hockey player,,Canada,Josh
,1993-05-07 1994-05-07,Carlos Adames,Dominican boxer (1993- ),boxer,,,Carlos
,1994-05-07,Brahim Ben Daoud,French footballer,association football player,,France,
,1994-05-07,Hugo Eyre Bernat,Spanish association football player,association football player,,Spain,Hugo
,1994-05-07,Milena Dimova,volleyball player,volleyball player,,,Milena
,1994-05-07,Hanna Dudzenkova,Belarus rhythmic gymnast (*1994) ♀,rhythmic gymnast,,Belarus,
,1994-05-07,Sliman Kchouk,Tunisian association football player,association football player,,Tunisia,
,1994-05-07,Laurel,British musician,musician,,United Kingdom,
,1994-05-07,Abdellatif Baka,Algerian Paralympic athlete,athletics competitor,,Algeria,
,1994-05-07,Kenta Hirai,Swimmer (*1994) ♂,swimmer,,,
,1994-05-07,Matías Montero,Argentinian association football player,association football player,,Argentina,Matías
,1994-05-07,Bartosz Kwiecień,association football player,association football player,,,Bartosz
,1994-05-07,Michael Roberts,American football player,American football player,,United States of America,Michael
,1994-05-07,Andrés Robles Fuentes,Chilean footballer,association football player,,Chile,Andrés
,1994-05-07,Kenan Hadžić,association football player,association football player,,Croatia,
,1994-05-07,Ruslan Bolov,Russian footballer,association football player,,Russia,Ruslan
,1994-05-07,Alexandra Aldridge,American ice dancer,ice dancer,,United States of America,Alexandra
,1994-05-07,Robert Foster,NFL Player for The Buffalo Bills,American football player,,,Robert
,1994-05-07,Yurii Vandiuk,Ukraine kayaker and canoeist (*1994) ♂,kayaker canoeist,,Ukraine,
,1994-05-07,Arshdeep Singh,Indian association football player (1994-),association football player,,,
,1994-05-07,Pauline Hammarlund,Swedish female association football player,association football player,,Sweden,Pauline
,1994-05-07,Zhang Yu,association football player,association football player,,People's Republic of China,
,1993-05-07,Kyōhei Nagae,Japanese baseball player,baseball player,,Japan,Kyōhei
,1993-05-07,Stefano Denswil,Dutch footballer,association football player,,Kingdom of the Netherlands,Stefano
,1993-05-07,Haythem Jouini,Tunisian association football player,association football player,,Tunisia,
,1993-05-07,Shan Pengfei,Chinese soccer player,association football player,,People's Republic of China,
,1993-05-07,Marvin Wanitzek,German footballer,association football player,,Germany,Marvin
,1993-05-07,Yoon So-hee,South Korean actress,actor model film actor,,South Korea,
,1993-05-07,Amyra Dastur,Indian actress,actor model,,India,
,1993-05-07,Erica Fernandes,Indian actress,actor model television actor,,India,Erica
,1993-05-07,Vladyslav Kulach,Ukrainian footballer,association football player,,Ukraine,Vladislav
,1993-05-07,Diogo Gonçalo Baptista Pires,Footballer,association football player,,Portugal,Diogo
,1993-05-07,Bilal Qwaider,Jordanian football player,association football player,,,Bilal
,1993-05-07,Sebastian Ross,Australian rules footballer,Australian rules football player,,,Sebastian
,1993-05-07,Ole Kristian Langås,Footballer,association football player,,Norway,Ole
,1993-05-07,Robi Jakovljević,Slovenian footballer,association football player,,Slovenia,Robi
,1993-05-07,Yannick Cortie,Dutch footballer,association football player,,Kingdom of the Netherlands,Yannick
,1993-05-07,Kenneth Dougall,Australian association football player,association football player,,Australia,Kenneth
,1993-05-07,Nick Besler,American soccer player,association football player,,United States of America,Nick
,1993-05-07,Amile Jefferson,NBA player,basketball player,,United States of America,
,1993-05-07,Madarious Gibbs,basketball player (1993-),basketball player,,,
,1993-05-07,Will Ospreay,British professional wrestler,amateur wrestler professional wrestler,,United Kingdom,Will
,1993-05-07,Skyler Woodward,American pool player,pool player,,United States of America,Skyler
,1993-05-07,Charles Tapper,American-football player (1993-),American football player,,,Charles
,1993-05-07,Sharon Belle,Canadian actor,actor,,Canada,Sharon
,1993-05-07,Jake Cawsey,association football player,association football player,,United Kingdom,
,1993-05-07 1993,Ajla Tomljanović,Australian female tennis player,tennis player,,Croatia Australia,Ajla
,1993-05-07,Mihai Popescu,association football player,association football player,,Romania,Mihai
,1993-05-07,Mariia Lafina,Ukrainian Paralympic swimmer,athlete,,,Mariya
,1993-05-07,Eduarda Kraisch,Brazilian volleyball player,volleyball player,,Brazil,
,1993-05-07,Fabio Hoxha,professional footballer,association football player,,Albania,Fabio
,1993-05-07,Jake Barker-Daish,Footballer,association football player,,Australia,Jake
,1993-05-07,Akash Sudan,cricketer,cricketer,,India,
,1993-05-07,Nicolae Stanciu,Romanian association football player born in 1993,association football player,,Romania,Nicolae
,1993-05-07,Bebe Zeva,American writer,journalist model,,United States of America,Bebe
,1993-05-07,Prashanth Nair,cricketer,cricketer,,,
,1993-05-07,Raul Correia,association football player,association football player,,Portugal,Raul
,1993-05-07,Gizele Oliveira,Brazilian model,model,,Brazil,
,1993-05-07,Category:Vlad Reiser,Swedish singer,singer,,,
,1993-05-07,Prince Wlame,Liberian football player,association football player,,,
,1993-05-07,Song Yiren,actor (*1993) ♀,actor,,,
,1993-05-07,Lampros Tairis,association football player (*1993),association football player,,,
,1992-05-07,Valentyna Holenkova,Ukrainian artistic gymnast,artistic gymnast gymnast,,Ukraine,Valentina Valentina/Valentyna
,1992-05-07,Adrián Embarba Blázquez,Spanish footballer,association football player,,Spain,Adrián
,1992-05-07,Lee Falkon,Israeli footballer,association football player,,Israel,
,1992-05-07,Dorjkhandyn Khüderbulga,Mongol amateur wrestler,amateur wrestler,,Mongolia,
,1992-05-07,Simeon Tochukwu Nwankwo,Nigerian footballer,association football player,,Nigeria,Simeon
,1992-05-07,Niall Annett,rugby player,,,,Niall
,1992-05-07,Tyler Johnson,American basketball player,basketball player,,United States of America,Tyler
,1992-05-07,Abdelmalik Lahoulou,Algerian athletics competitor,athletics competitor,,Algeria,
,1992-05-07,Colin Hamilton,British association football player,association football player,,United Kingdom,Colin
,1992-05-07,Moussa Limane,Central African association football player,association football player,,Central African Republic,Moussa
,1992-05-07,Badre Alam,Indian cricketer,cricketer,,India,
,1992-05-07,Jennifer Fiechter,Swiss skier,ski mountaineer,,,Jennifer
,1992-05-07,Clayster,American electronic sports player,pro gamer,,United States of America,
,1992-05-07,Nour El Houda Bouregua,Algerian volleyball player,volleyball player,,Algeria,
,1992-05-07,Albert Ramírez,Venezuelan boxer,boxer,,Venezuela,Albert
,1992-05-07,Janet Egyir,Ghanaian footballer,association football player,,Ghana,Janet
,1992-05-07,Robbie Benson,actor and director (born 1992),association football player,,Ireland,Robert
,1992-07-05 1992-05-07,Teah Dennis Jr,association football player,association football player,,Liberia,
,1992-05-07,Traves Smikle,Jamaican discus thrower,athletics competitor,,Jamaica,
,1992-05-07,Manimegalai,actor,actor television actor,,,
,1992-05-07,Alexander Ludwig,"Canadian actor, singer and model",actor singer model film actor voice actor television actor,,Canada,Alexander
,1992-05-07,Djibril Moussa Souna,Nigerien footballer,association football player,,Niger,
,1992-05-07,Salla Koskela,Finnish orienteer (*1992) ♀,orienteer,,Finland,Salla
,1992-05-07,Wahidul Alam,cricketer,cricketer,,Bangladesh,
,1992-05-07,Artur Rudko,Ukrainian footballer,association football player,,Ukraine,Artur
,1992-05-07,Aditya Jagtap,Indian squash player (*1992) ♂,squash player,,India,
,1992-05-07,Theresa Michalak,German swimmer,swimmer,,Germany,Theresa
,1992-05-07,Donat Dzhatiyev,Russian footballer,association football player,,Russia,Donat
,1992-05-07,Andrés Felipe Ibargüen,Colombian association football player,association football player,,Colombia,Andrés
,1992-05-07,Santiago Socino,Argentine rugby union footballer,rugby union player,,Argentina,Santiago
,1992-05-07,Sam Figg,South African-born Australian rugby union player,rugby union player,,,Sam
,1992-05-07,Ernest Nungaray,Mexican association football player,association football player,,Mexico,Ernest
,1992-05-07,Ryan Harrison,American tennis player,tennis player,,United States of America,Ryan
,1991-05-07,Mihaela Petrilă,Romanian rower,rower,,Romania,Mihaela
,1991-05-07,Steve Williams,"American football player, born 1991",American football player,,United States of America,Steve
,1991-05-07,Elisa Bartoli,association football player,association football player,,Italy,Elisa
,1991-05-07,JUSTHIS,South Korean rapper,musician,,,
,1991-05-07,Romana Tabak,Slovakian tennis player,tennis player,,Slovakia,Romana
,1991-05-07,Élise Pellegrin,Maltese Alpine skier,alpine skier,,Malta,Élise
,1991-05-07,Kenny Ardouin,New Zealand community activist,,,New Zealand,Kenny
,1991-05-07,Miroslav Celler,Slovak squash player,squash player,,Slovakia,Miroslav
,1991-05-07,Simone Fontana,Italian bobsledder,bobsledder,,Italy,Simone
,1991-05-07,Seth Rudolph,American soccer player,association football player,,United States of America,Seth
,1991-05-07,Douglas Reis,Brazilian footballer,association football player,,Brazil,Douglas
,1991-05-07,Sheena Liam,Malaysian model,model,,Malaysia,Sheena
,1991-05-07,Anais Pouliot,Canadian model,model,,Canada,Anais
,1991-05-07,Cherry Mardia,Indian actress,actor model television actor,,India,Cherry
,1991-05-07,Kiyoshi Nakatani,Japanese association football player,association football player,,Japan,
,1991-05-09 1991-05-07,Leaname Maotoanong,Botswana sprinter,athletics competitor,,Botswana,
,1991-05-07,Niko Unavalu,cricketer,cricketer,,,Niko
,1991-05-07,Jorge Barajas,Mexican volleyball player,volleyball player,,Mexico,Jorge
,1991-05-07,Andi Kullolli,Albanian association football player,association football player,,Albania,Andi
,1991-05-07,Roxane Hayward,South African actress,actor model film actor,,South Africa,
,1991-05-07,Rakesh Manpat,Indian person (*1991) ♂,,,India,Rakesh
,1991-05-07,Wouter ter Maat,Dutch volleyball player,volleyball player,,Kingdom of the Netherlands,Wouter
,1991-05-07,Daniel Juncadella,Spanish racing driver,racing automobile driver,,Spain,Daniel
,1991-05-07,Natosha Rogers,American long-distance runner,athletics competitor,,United States of America,
,1991-05-07,Chordale Booker,boxer,boxer,,,
,1991-05-07,Josh White,American stock car driver and Marine,racing driver,,,
,1991-05-07,Neil Prakash,alleged senior member in the Islamic State group,militant,,Australia,Neil
,1991-05-07,Emilio Pagán,American professional baseball pitcher,professional baseball player,,,Emilio
,1991-05-07,Kelsey Neumann,ice hockey player (1991-),ice hockey player,,,
,1991-05-07,Erika de la Cruz,TV Personality,television presenter author,,,Erika
,1991-05-07,Rueben Randle,American football wide receiver,American football player,,United States of America,
,1991-05-07,Mercy Cherono,Kenyan long-distance runner,long-distance runner athletics competitor,,Kenya,Mercy
,1991-05-07,Taylor Abrahamse,actor (*1991) ♂,actor,,,
,1991-05-07,Branden Oliver,"American football player, running back",American football player,,United States of America,
,1991-05-07,Josh McKnight,Person (*1991) ♂,,,,Joshua
,1991-05-07,Andrei Sava,association football player,association football player,,Romania,
,1991-05-07,Daniel Shmedin,Bulgarian footballer,association football player,,Bulgaria,Daniel
,1991-05-07,Evandro Brandão,football player,association football player,,Angola,Evandro
,1991-07-03 1991-05-07,Erik Tønne,Norwegian association football player,association football player,,Norway,Erik
,1991-05-07,Jonathan Tiffoney,Scottish footballer,association football player,,United Kingdom,Jonathan
,1991-05-08 1991-05-07,Loudry Meilana Setiawan,Indonesian footballer,association football player,,Indonesia,
,1991-05-07,Masaru Kato,Japanese association football player,association football player,,Japan,Masaru
,1991-05-07,Emir Dilaver,Austrian association football player,association football player,,Austria,Emir
,1991-05-07,Radoslav Gondoľ,Slovak footballer,association football player,,Slovakia,Radoslav
,1991-07-05 1991-05-07,Srabani Nanda,Indian athlete,athletics competitor,,India,
,1991-05-07,Suwanda Sitorus,table tennis coach,table tennis player Table tennis coaches investor,,,
,1991-05-07,Tristan Scherwey,Swiss ice hockey player,ice hockey player,,Switzerland,Tristan
,1991-05-07,Yoshihiro Azuma,sprinter,athletics competitor sprinter,,Japan,Yoshihiro
,1991-05-07,Pantelis Theologou,association football player (*1991),association football player,,,
,1990-05-07,Hussein Al-Ghazi,association football player,association football player,,,
,1990-05-07,Chad Ruhwedel,American ice hockey player,ice hockey player,,United States of America,Chad
,1990-05-07,Romero Osby,American basketball player,basketball player,,United States of America,Romero
,1990-05-07,Kazuki Mishima,baseball player,baseball player,,Japan,Kazuki
,1990-05-07,Ahmed Abu Kabeer,Jordanian footballer,association football player,,Jordan,Ahmed Ahmad
,1990-05-07,A. J. Francis,American Football player,American football player,,United States of America,Anthony Joseph
,1990-05-07,Vladislav Ivanov,Moldovan footballer,association football player,,Moldova,Vladislav
,1990-05-07,Jonathan Zlotnik,American politician,politician,member of the Massachusetts House of Representatives,United States of America,Jonathan
,1990-05-07,Junior Cadougan,Canadian basketball player,basketball player,,Canada,Junior
,1990-05-07,Ilya Shikshin,Russian go player,Go professional,,Russia Soviet Union,Ilya
,1990-05-07,Jolien Verschueren,Belgian bicycle racer,sport cyclist,,Belgium,
,1990-05-07,Kimito Totani,Japanese actor,actor tarento,,Japan,
,1990-01-07 1990-05-07,Daniel Suárez García-Osorio,Spanish association football player,association football player,,Spain,Daniel
,1991-11-23,Willian José,football player,association football player,,Brazil,Willian José
,1990-05-07,Sid Boudina,Algerian rower,rower,,Algeria,Sid
,1990-05-07,Hangi Tavakoli,music Producer,musician composer music producer,,,
,1990-05-07,Diante Watkins,basketball player (1990-),basketball player,,,
,1990-05-07,Kaunain Abbas,cricketer,cricketer,,India,
,1990-05-07,Steven Wilcox,boxer,boxer,,,Steven
,1990-05-07,Hany Rashwan,Person (*1990) ♂,,,,
,1990-05-07,Julianne Côté,Canadian actress,actor,,Canada,Julianne
,1990-05-07,Martina Cavallero,Olympic field hockey player,field hockey player,,Argentina,Martina
,1989-05-07 1990-05-07,Kheeston Randall,American football player,American football player,,United States of America,
,1990-05-07,Kurnia Meiga Hermansyah,Indonesian footballer,association football player,,Indonesia,
,1990-05-07,Sydney Leroux,Canadian-born American soccer player,association football player,,United States of America Canada,Sydney Rae
,1990-05-07,Andrew Chou,Taiwanese musician,musician,,People's Republic of China,Andrew
,1990-05-07,Yoon Bit-garam,South Korean footballer,association football player,,South Korea,
,1990-05-07,Marco Rangl,Austrian bobsledder,bobsledder sprinter,,Austria,Marco
,1990-05-07,Evan Kostopoulos,Australian soccer player,association football player,,Australia,Evan
,1990-05-07,Ian Lorello,American ice dancer,ice dancer,,United States of America,Ian
,1990-05-07,Johnny Joo,Person (*1990) ♂,,,,Johnny
